timestep,agg_RIS,category,date,NER,NER_SA
M,Census Divisions,East North Central,2010-01-01,16292000.0,16698000.0
M,Census Divisions,East North Central,2010-02-01,16137000.0,16578000.0
M,Census Divisions,East North Central,2010-03-01,16099000.0,16459000.0
M,Census Divisions,East North Central,2010-04-01,16243000.0,16473000.0
M,Census Divisions,East North Central,2010-05-01,16370000.0,16496000.0
M,Census Divisions,East North Central,2010-06-01,16618000.0,16525000.0
M,Census Divisions,East North Central,2010-07-01,16954000.0,16614000.0
M,Census Divisions,East North Central,2010-08-01,16970000.0,16624000.0
M,Census Divisions,East North Central,2010-09-01,16949000.0,16657000.0
M,Census Divisions,East North Central,2010-10-01,16957000.0,16685000.0
M,Census Divisions,East North Central,2010-11-01,16965000.0,16712000.0
M,Census Divisions,East North Central,2010-12-01,16694000.0,16702000.0
M,Census Divisions,East North Central,2011-01-01,16509000.0,16727000.0
M,Census Divisions,East North Central,2011-02-01,16433000.0,16779000.0
M,Census Divisions,East North Central,2011-03-01,16474000.0,16835000.0
M,Census Divisions,East North Central,2011-04-01,16650000.0,16876000.0
M,Census Divisions,East North Central,2011-05-01,16792000.0,16910000.0
M,Census Divisions,East North Central,2011-06-01,17089000.0,16939000.0
M,Census Divisions,East North Central,2011-07-01,17242000.0,16942000.0
M,Census Divisions,East North Central,2011-08-01,17293000.0,16982000.0
M,Census Divisions,East North Central,2011-09-01,17284000.0,17032000.0
M,Census Divisions,East North Central,2011-10-01,17279000.0,17060000.0
M,Census Divisions,East North Central,2011-11-01,17285000.0,17089000.0
M,Census Divisions,East North Central,2011-12-01,17101000.0,17123000.0
M,Census Divisions,East North Central,2012-01-01,16935000.0,17177000.0
M,Census Divisions,East North Central,2012-02-01,16835000.0,17213000.0
M,Census Divisions,East North Central,2012-03-01,16895000.0,17255000.0
M,Census Divisions,East North Central,2012-04-01,17058000.0,17309000.0
M,Census Divisions,East North Central,2012-05-01,17177000.0,17313000.0
M,Census Divisions,East North Central,2012-06-01,17435000.0,17315000.0
M,Census Divisions,East North Central,2012-07-01,17606000.0,17345000.0
