month,naics2d_code,naics2d_name_x,employment_nsa_revelio,employment_sa_revelio,employment_nsa_bls,employment_sa_bls,naics2d_name_y,employment_nsa_adp,employment_sa_adp
2021-01,00,Total private (ex-ag; ex gov; ADP comparable),123811481.0,123723743.0,119315000.0,121134000.0,Total private (ADP NER),119033000.0,120591000.0
2021-02,00,Total private (ex-ag; ex gov; ADP comparable),123692767.0,124064675.0,120136000.0,121658000.0,Total private (ADP NER),118733000.0,120782000.0
2021-03,00,Total private (ex-ag; ex gov; ADP comparable),124168178.0,124472330.0,121165000.0,122390000.0,Total private (ADP NER),119219000.0,121185000.0
2021-04,00,Total private (ex-ag; ex gov; ADP comparable),124481283.0,124869871.0,122170000.0,122702000.0,Total private (ADP NER),119647000.0,121239000.0
2021-05,00,Total private (ex-ag; ex gov; ADP comparable),125285890.0,125334281.0,123214000.0,123122000.0,Total private (ADP NER),120159000.0,121363000.0
2021-06,00,Total private (ex-ag; ex gov; ADP comparable),125982391.0,125919108.0,124753000.0,123824000.0,Total private (ADP NER),121762000.0,121715000.0
2021-07,00,Total private (ex-ag; ex gov; ADP comparable),126347811.0,126360513.0,125671000.0,124704000.0,Total private (ADP NER),124073000.0,122729000.0
2021-08,00,Total private (ex-ag; ex gov; ADP comparable),127361626.0,126820037.0,125907000.0,125147000.0,Total private (ADP NER),125323000.0,123976000.0
2021-09,00,Total private (ex-ag; ex gov; ADP comparable),127293474.0,127168373.0,125761000.0,125632000.0,Total private (ADP NER),126020000.0,124871000.0
2021-10,00,Total private (ex-ag; ex gov; ADP comparable),127729576.0,127530097.0,127202000.0,126526000.0,Total private (ADP NER),126808000.0,125666000.0
2021-11,00,Total private (ex-ag; ex gov; ADP comparable),128090374.0,127912337.0,128059000.0,127162000.0,Total private (ADP NER),127482000.0,126264000.0
2021-12,00,Total private (ex-ag; ex gov; ADP comparable),128158459.0,128229583.0,128385000.0,127707000.0,Total private (ADP NER),127097000.0,126962000.0
2022-01,00,Total private (ex-ag; ex gov; ADP comparable),128701178.0,128640033.0,125993000.0,127950000.0,Total private (ADP NER),125708000.0,127179000.0
2022-02,00,Total private (ex-ag; ex gov; ADP comparable),128689562.0,129034065.0,127338000.0,128834000.0,Total private (ADP NER),125747000.0,127710000.0
2022-03,00,Total private (ex-ag; ex gov; ADP comparable),129123635.0,129395231.0,128087000.0,129304000.0,Total private (ADP NER),126021000.0,127987000.0
2022-04,00,Total private (ex-ag; ex gov; ADP comparable),129371131.0,129727127.0,129036000.0,129572000.0,Total private (ADP NER),126683000.0,128311000.0
2022-05,00,Total private (ex-ag; ex gov; ADP comparable),130138917.0,130165517.0,129892000.0,129789000.0,Total private (ADP NER),127275000.0,128556000.0
2022-06,00,Total private (ex-ag; ex gov; ADP comparable),130691546.0,130629881.0,131198000.0,130229000.0,Total private (ADP NER),129419000.0,129051000.0
2022-07,00,Total private (ex-ag; ex gov; ADP comparable),130956338.0,130970398.0,131722000.0,130767000.0,Total private (ADP NER),131037000.0,129556000.0
2022-08,00,Total private (ex-ag; ex gov; ADP comparable),131874937.0,131352921.0,131768000.0,131017000.0,Total private (ADP NER),131415000.0,129879000.0
2022-09,00,Total private (ex-ag; ex gov; ADP comparable),131637361.0,131548286.0,131376000.0,131233000.0,Total private (ADP NER),131509000.0,130323000.0
2022-10,00,Total private (ex-ag; ex gov; ADP comparable),131972678.0,131804029.0,132280000.0,131604000.0,Total private (ADP NER),131770000.0,130541000.0
2022-11,00,Total private (ex-ag; ex gov; ADP comparable),132181960.0,132021989.0,132701000.0,131836000.0,Total private (ADP NER),132086000.0,130762000.0
2022-12,00,Total private (ex-ag; ex gov; ADP comparable),132135315.0,132189996.0,132565000.0,131963000.0,Total private (ADP NER),131144000.0,130884000.0
2023-01,00,Total private (ex-ag; ex gov; ADP comparable),132423279.0,132389809.0,130314000.0,132288000.0,Total private (ADP NER),129843000.0,131131000.0
2023-02,00,Total private (ex-ag; ex gov; ADP comparable),132236156.0,132553268.0,131014000.0,132538000.0,Total private (ADP NER),129383000.0,131288000.0
2023-03,00,Total private (ex-ag; ex gov; ADP comparable),132491862.0,132730795.0,131367000.0,132586000.0,Total private (ADP NER),129297000.0,131235000.0
2023-04,00,Total private (ex-ag; ex gov; ADP comparable),132553052.0,132876311.0,132189000.0,132753000.0,Total private (ADP NER),129759000.0,131367000.0
2023-05,00,Total private (ex-ag; ex gov; ADP comparable),133055904.0,133060707.0,133071000.0,132919000.0,Total private (ADP NER),130123000.0,131419000.0
2023-06,00,Total private (ex-ag; ex gov; ADP comparable),133288603.0,133228610.0,134083000.0,133089000.0,Total private (ADP NER),131900000.0,131565000.0
2023-07,00,Total private (ex-ag; ex gov; ADP comparable),133344408.0,133359903.0,134158000.0,133199000.0,Total private (ADP NER),133211000.0,131703000.0
2023-08,00,Total private (ex-ag; ex gov; ADP comparable),134012586.0,133510238.0,134063000.0,133307000.0,Total private (ADP NER),133374000.0,131822000.0
2023-09,00,Total private (ex-ag; ex gov; ADP comparable),133652660.0,133599564.0,133559000.0,133396000.0,Total private (ADP NER),132995000.0,131917000.0
2023-10,00,Total private (ex-ag; ex gov; ADP comparable),133915725.0,133777828.0,134181000.0,133513000.0,Total private (ADP NER),133191000.0,132047000.0
2023-11,00,Total private (ex-ag; ex gov; ADP comparable),134014753.0,133872803.0,134458000.0,133610000.0,Total private (ADP NER),133426000.0,132147000.0
2023-12,00,Total private (ex-ag; ex gov; ADP comparable),133895279.0,133932688.0,134432000.0,133823000.0,Total private (ADP NER),132439000.0,132242000.0
2024-01,00,Total private (ex-ag; ex gov; ADP comparable),134030519.0,134025260.0,131909000.0,133896000.0,Total private (ADP NER),131172000.0,132371000.0
2024-02,00,Total private (ex-ag; ex gov; ADP comparable),133802092.0,134091859.0,132520000.0,134047000.0,Total private (ADP NER),130546000.0,132462000.0
2024-03,00,Total private (ex-ag; ex gov; ADP comparable),133950489.0,134156671.0,132995000.0,134216000.0,Total private (ADP NER),130578000.0,132544000.0
2024-04,00,Total private (ex-ag; ex gov; ADP comparable),133982864.0,134273209.0,133804000.0,134345000.0,Total private (ADP NER),131024000.0,132657000.0
2024-05,00,Total private (ex-ag; ex gov; ADP comparable),134280013.0,134263023.0,134665000.0,134505000.0,Total private (ADP NER),131666000.0,132821000.0
2024-06,00,Total private (ex-ag; ex gov; ADP comparable),134373924.0,134315675.0,135537000.0,134571000.0,Total private (ADP NER),133217000.0,132957000.0
2024-07,00,Total private (ex-ag; ex gov; ADP comparable),134368280.0,134385304.0,135580000.0,134611000.0,Total private (ADP NER),134401000.0,132999000.0
2024-08,00,Total private (ex-ag; ex gov; ADP comparable),134948487.0,134466008.0,135474000.0,134644000.0,Total private (ADP NER),134503000.0,133179000.0
2024-09,00,Total private (ex-ag; ex gov; ADP comparable),134561371.0,134544312.0,135037000.0,134852000.0,Total private (ADP NER),134280000.0,133373000.0
2024-10,00,Total private (ex-ag; ex gov; ADP comparable),134730221.0,134623057.0,135508000.0,134851000.0,Total private (ADP NER),134581000.0,133594000.0
2024-11,00,Total private (ex-ag; ex gov; ADP comparable),134811374.0,134687477.0,135893000.0,135095000.0,Total private (ADP NER),134890000.0,133798000.0
2024-12,00,Total private (ex-ag; ex gov; ADP comparable),134678014.0,134696923.0,136080000.0,135382000.0,Total private (ADP NER),134211000.0,133974000.0
2025-01,00,Total private (ex-ag; ex gov; ADP comparable),134712928.0,134735906.0,133595000.0,135461000.0,Total private (ADP NER),132574000.0,134160000.0
2025-02,00,Total private (ex-ag; ex gov; ADP comparable),134513440.0,134775887.0,134104000.0,135568000.0,Total private (ADP NER),132221000.0,134244000.0
2025-03,00,Total private (ex-ag; ex gov; ADP comparable),134677007.0,134850314.0,134491000.0,135682000.0,Total private (ADP NER),132306000.0,134391000.0
2025-04,00,Total private (ex-ag; ex gov; ADP comparable),134654549.0,134911718.0,135299000.0,135815000.0,Total private (ADP NER),132672000.0,134451000.0
2025-05,00,Total private (ex-ag; ex gov; ADP comparable),134921094.0,134882294.0,136097000.0,135884000.0,Total private (ADP NER),133197000.0,134480000.0
2025-06,00,Total private (ex-ag; ex gov; ADP comparable),134923666.0,134867279.0,136808000.0,135857000.0,Total private (ADP NER),134562000.0,134457000.0
2025-07,00,Total private (ex-ag; ex gov; ADP comparable),134859868.0,134878555.0,136835000.0,135913000.0,Total private (ADP NER),135787000.0,134561000.0
2025-08,00,Total private (ex-ag; ex gov; ADP comparable),135350033.0,134887753.0,136700000.0,135923000.0,Total private (ADP NER),135818000.0,134558000.0
