month,release,employment_sa
2020-01,2021-02,152234000
2020-02,2021-02,152523000
2020-03,2021-02,150840000
2020-04,2021-02,130161000
2020-05,2021-02,132994000
2020-06,2021-02,137840000
2020-07,2021-02,139566000
2020-08,2021-02,141149000
2020-09,2021-02,141865000
2020-10,2021-02,142545000
2020-11,2021-02,142809000
2020-12,2021-02,142582000
2021-01,2021-02,142631000
2020-01,2021-03,152234000
2020-02,2021-03,152523000
2020-03,2021-03,150840000
2020-04,2021-03,130161000
2020-05,2021-03,132994000
2020-06,2021-03,137840000
2020-07,2021-03,139566000
2020-08,2021-03,141149000
2020-09,2021-03,141865000
2020-10,2021-03,142545000
2020-11,2021-03,142809000
2020-12,2021-03,142503000
2021-01,2021-03,142669000
2021-02,2021-03,143048000
2020-01,2021-04,152234000
2020-02,2021-04,152523000
2020-03,2021-04,150840000
2020-04,2021-04,130161000
2020-05,2021-04,132994000
2020-06,2021-04,137840000
2020-07,2021-04,139566000
2020-08,2021-04,141149000
2020-09,2021-04,141865000
2020-10,2021-04,142545000
2020-11,2021-04,142809000
2020-12,2021-04,142503000
2021-01,2021-04,142736000
2021-02,2021-04,143204000
2021-03,2021-04,144120000
2020-01,2021-05,152234000
2020-02,2021-05,152523000
2020-03,2021-05,150840000
2020-04,2021-05,130161000
2020-05,2021-05,132994000
2020-06,2021-05,137840000
2020-07,2021-05,139566000
2020-08,2021-05,141149000
2020-09,2021-05,141865000
2020-10,2021-05,142545000
2020-11,2021-05,142809000
2020-12,2021-05,142503000
2021-01,2021-05,142736000
2021-02,2021-05,143272000
2021-03,2021-05,144042000
2021-04,2021-05,144308000
2020-01,2021-06,152234000
2020-02,2021-06,152523000
2020-03,2021-06,150840000
2020-04,2021-06,130161000
2020-05,2021-06,132994000
2020-06,2021-06,137840000
2020-07,2021-06,139566000
2020-08,2021-06,141149000
2020-09,2021-06,141865000
2020-10,2021-06,142545000
2020-11,2021-06,142809000
2020-12,2021-06,142503000
2021-01,2021-06,142736000
2021-02,2021-06,143272000
2021-03,2021-06,144057000
2021-04,2021-06,144335000
2021-05,2021-06,144894000
2020-01,2021-07,152234000
2020-02,2021-07,152523000
2020-03,2021-07,150840000
2020-04,2021-07,130161000
2020-05,2021-07,132994000
2020-06,2021-07,137840000
2020-07,2021-07,139566000
2020-08,2021-07,141149000
2020-09,2021-07,141865000
2020-10,2021-07,142545000
2020-11,2021-07,142809000
2020-12,2021-07,142503000
2021-01,2021-07,142736000
2021-02,2021-07,143272000
2021-03,2021-07,144057000
2021-04,2021-07,144326000
2021-05,2021-07,144909000
2021-06,2021-07,145759000
2020-01,2021-08,152234000
2020-02,2021-08,152523000
2020-03,2021-08,150840000
2020-04,2021-08,130161000
2020-05,2021-08,132994000
2020-06,2021-08,137840000
2020-07,2021-08,139566000
2020-08,2021-08,141149000
