month,naics2d_code,naics2d_name,employment_nsa,employment_sa
2021-01,00,Total private (ex-ag; ex gov; ADP comparable),119315000.0,121134000.0
2021-02,00,Total private (ex-ag; ex gov; ADP comparable),120136000.0,121658000.0
2021-03,00,Total private (ex-ag; ex gov; ADP comparable),121165000.0,122390000.0
2021-04,00,Total private (ex-ag; ex gov; ADP comparable),122170000.0,122702000.0
2021-05,00,Total private (ex-ag; ex gov; ADP comparable),123214000.0,123122000.0
2021-06,00,Total private (ex-ag; ex gov; ADP comparable),124753000.0,123824000.0
2021-07,00,Total private (ex-ag; ex gov; ADP comparable),125671000.0,124704000.0
2021-08,00,Total private (ex-ag; ex gov; ADP comparable),125907000.0,125147000.0
2021-09,00,Total private (ex-ag; ex gov; ADP comparable),125761000.0,125632000.0
2021-10,00,Total private (ex-ag; ex gov; ADP comparable),127202000.0,126526000.0
2021-11,00,Total private (ex-ag; ex gov; ADP comparable),128059000.0,127162000.0
2021-12,00,Total private (ex-ag; ex gov; ADP comparable),128385000.0,127707000.0
2022-01,00,Total private (ex-ag; ex gov; ADP comparable),125993000.0,127950000.0
2022-02,00,Total private (ex-ag; ex gov; ADP comparable),127338000.0,128834000.0
2022-03,00,Total private (ex-ag; ex gov; ADP comparable),128087000.0,129304000.0
2022-04,00,Total private (ex-ag; ex gov; ADP comparable),129036000.0,129572000.0
2022-05,00,Total private (ex-ag; ex gov; ADP comparable),129892000.0,129789000.0
2022-06,00,Total private (ex-ag; ex gov; ADP comparable),131198000.0,130229000.0
2022-07,00,Total private (ex-ag; ex gov; ADP comparable),131722000.0,130767000.0
2022-08,00,Total private (ex-ag; ex gov; ADP comparable),131768000.0,131017000.0
2022-09,00,Total private (ex-ag; ex gov; ADP comparable),131376000.0,131233000.0
2022-10,00,Total private (ex-ag; ex gov; ADP comparable),132280000.0,131604000.0
2022-11,00,Total private (ex-ag; ex gov; ADP comparable),132701000.0,131836000.0
2022-12,00,Total private (ex-ag; ex gov; ADP comparable),132565000.0,131963000.0
2023-01,00,Total private (ex-ag; ex gov; ADP comparable),130314000.0,132288000.0
2023-02,00,Total private (ex-ag; ex gov; ADP comparable),131014000.0,132538000.0
2023-03,00,Total private (ex-ag; ex gov; ADP comparable),131367000.0,132586000.0
2023-04,00,Total private (ex-ag; ex gov; ADP comparable),132189000.0,132753000.0
2023-05,00,Total private (ex-ag; ex gov; ADP comparable),133071000.0,132919000.0
2023-06,00,Total private (ex-ag; ex gov; ADP comparable),134083000.0,133089000.0
2023-07,00,Total private (ex-ag; ex gov; ADP comparable),134158000.0,133199000.0
2023-08,00,Total private (ex-ag; ex gov; ADP comparable),134063000.0,133307000.0
2023-09,00,Total private (ex-ag; ex gov; ADP comparable),133559000.0,133396000.0
2023-10,00,Total private (ex-ag; ex gov; ADP comparable),134181000.0,133513000.0
2023-11,00,Total private (ex-ag; ex gov; ADP comparable),134458000.0,133610000.0
2023-12,00,Total private (ex-ag; ex gov; ADP comparable),134432000.0,133823000.0
2024-01,00,Total private (ex-ag; ex gov; ADP comparable),131909000.0,133896000.0
2024-02,00,Total private (ex-ag; ex gov; ADP comparable),132520000.0,134047000.0
2024-03,00,Total private (ex-ag; ex gov; ADP comparable),132995000.0,134216000.0
2024-04,00,Total private (ex-ag; ex gov; ADP comparable),133804000.0,134345000.0
2024-05,00,Total private (ex-ag; ex gov; ADP comparable),134665000.0,134505000.0
2024-06,00,Total private (ex-ag; ex gov; ADP comparable),135537000.0,134571000.0
2024-07,00,Total private (ex-ag; ex gov; ADP comparable),135580000.0,134611000.0
2024-08,00,Total private (ex-ag; ex gov; ADP comparable),135474000.0,134644000.0
2024-09,00,Total private (ex-ag; ex gov; ADP comparable),135037000.0,134852000.0
2024-10,00,Total private (ex-ag; ex gov; ADP comparable),135508000.0,134851000.0
2024-11,00,Total private (ex-ag; ex gov; ADP comparable),135893000.0,135095000.0
2024-12,00,Total private (ex-ag; ex gov; ADP comparable),136080000.0,135382000.0
2025-01,00,Total private (ex-ag; ex gov; ADP comparable),133595000.0,135461000.0
2025-02,00,Total private (ex-ag; ex gov; ADP comparable),134104000.0,135568000.0
2025-03,00,Total private (ex-ag; ex gov; ADP comparable),134491000.0,135682000.0
2025-04,00,Total private (ex-ag; ex gov; ADP comparable),135299000.0,135815000.0
2025-05,00,Total private (ex-ag; ex gov; ADP comparable),136097000.0,135884000.0
2025-06,00,Total private (ex-ag; ex gov; ADP comparable),136808000.0,135857000.0
2025-07,00,Total private (ex-ag; ex gov; ADP comparable),136835000.0,135913000.0
2025-08,00,Total private (ex-ag; ex gov; ADP comparable),136700000.0,135923000.0
