month,employment_nsa,employment_sa
2021-01,146355332,146232143
2021-02,146287390,146621180
2021-03,146777634,147057261
2021-04,147080572,147472937
2021-05,147884255,147956876
2021-06,148528632,148538804
2021-07,148852267,148980709
2021-08,150018428,149464419
2021-09,150014841,149858169
2021-10,150478489,150244654
2021-11,150813991,150625834
2021-12,150931028,150970813
2022-01,151482755,151393951
2022-02,151480920,151789879
2022-03,151921505,152168402
2022-04,152164764,152524529
2022-05,152917885,152968300
2022-06,153432663,153442014
2022-07,153656432,153781271
2022-08,154727044,154194171
2022-09,154585483,154469369
2022-10,154961856,154761457
2022-11,155191220,155023826
2022-12,155208271,155244609
2023-01,155548273,155495448
2023-02,155422617,155706837
2023-03,155718263,155932362
2023-04,155789543,156116576
2023-05,156291704,156319841
2023-06,156530607,156539071
2023-07,156593768,156714977
2023-08,157392076,156880460
2023-09,157106586,157031062
2023-10,157391040,157224152
2023-11,157513613,157367057
2023-12,157461986,157494333
2024-01,157636618,157619190
2024-02,157504956,157764483
2024-03,157721773,157903028
2024-04,157751439,158045623
2024-05,158110131,158115970
2024-06,158248453,158255907
2024-07,158255663,158373252
2024-08,159008629,158518373
2024-09,158677008,158642170
2024-10,158903400,158770117
2024-11,159012936,158887283
2024-12,158915688,158944095
2025-01,158979345,158995927
2025-02,158809868,159044806
2025-03,158959411,159107732
2025-04,158918789,159179937
2025-05,159214287,159197806
2025-06,159238851,159245176
2025-07,159128072,159242015
2025-08,159684157,159215421
2025-09,159240574,159246503
2025-10,159335340,159235774
2025-11,159372317,159267713
2025-12,159313716,159338854
