month,naics2d_code,naics2d_name,employment_nsa,employment_sa
2021-01,11,"Agriculture, Forestry, Fishing and Hunting",196584,198071
2021-01,21,"Mining, Quarrying, and Oil and Gas Extraction",618696,618226
2021-01,22,Utilities,348542,348635
2021-01,23,Construction,7476090,7492426
2021-01,31-33,Manufacturing,12291596,12290751
2021-01,42,Wholesale Trade,5808438,5813042
2021-01,44-45,Retail Trade,14752381,14736469
2021-01,48-49,Transportation and Warehousing,6312998,6302143
2021-01,51,Information,2877189,2870023
2021-01,52-53,Financial Activities,8773897,8781596
2021-01,54-56,Professional and Business Services,20535707,20507709
2021-01,61-62,Education and Health Services,23659482,23514374
2021-01,71-72,Leisure and Hospitality,14741025,14825745
2021-01,81,Other Services (except Public Administration),5420978,5421772
2021-01,92,Public Administration,22183765,22152157
2021-01,99,Unclassified,357957,358997
2021-02,11,"Agriculture, Forestry, Fishing and Hunting",196914,198882
2021-02,21,"Mining, Quarrying, and Oil and Gas Extraction",615520,616676
2021-02,22,Utilities,348369,349412
2021-02,23,Construction,7477221,7512927
2021-02,31-33,Manufacturing,12281482,12323241
2021-02,42,Wholesale Trade,5805944,5825866
2021-02,44-45,Retail Trade,14702956,14767255
2021-02,48-49,Transportation and Warehousing,6291180,6305021
2021-02,51,Information,2878994,2882639
2021-02,52-53,Financial Activities,8773040,8791857
2021-02,54-56,Professional and Business Services,20558607,20594839
2021-02,61-62,Education and Health Services,23671032,23599134
2021-02,71-72,Leisure and Hospitality,14748515,14873628
2021-02,81,Other Services (except Public Administration),5417826,5435836
2021-02,92,Public Administration,22162061,22184257
2021-02,99,Unclassified,357724,359700
2021-03,11,"Agriculture, Forestry, Fishing and Hunting",198619,200016
2021-03,21,"Mining, Quarrying, and Oil and Gas Extraction",614690,615800
2021-03,22,Utilities,349548,350281
2021-03,23,Construction,7505918,7536179
2021-03,31-33,Manufacturing,12318008,12353741
2021-03,42,Wholesale Trade,5821558,5838267
2021-03,44-45,Retail Trade,14739570,14801588
2021-03,48-49,Transportation and Warehousing,6303804,6316243
2021-03,51,Information,2892179,2895977
2021-03,52-53,Financial Activities,8796809,8813029
2021-03,54-56,Professional and Business Services,20640759,20676306
2021-03,61-62,Education and Health Services,23744938,23677565
2021-03,71-72,Leisure and Hospitality,14857571,14947619
2021-03,81,Other Services (except Public Administration),5437353,5450552
2021-03,92,Public Administration,22197049,22223342
2021-03,99,Unclassified,359253,360749
2021-04,11,"Agriculture, Forestry, Fishing and Hunting",200165,201275
2021-04,21,"Mining, Quarrying, and Oil and Gas Extraction",613425,615506
2021-04,22,Utilities,349938,350909
2021-04,23,Construction,7522985,7555478
2021-04,31-33,Manufacturing,12332054,12375683
2021-04,42,Wholesale Trade,5830058,5848498
2021-04,44-45,Retail Trade,14776646,14847544
2021-04,48-49,Transportation and Warehousing,6312260,6328824
2021-04,51,Information,2898770,2907172
2021-04,52-53,Financial Activities,8803392,8829261
2021-04,54-56,Professional and Business Services,20683211,20747735
2021-04,61-62,Education and Health Services,23770836,23747944
2021-04,71-72,Leisure and Hospitality,14963067,15036389
