month,employment_nsa,employment_sa
2021-01,146790987,146675611
2021-02,146639862,147041945
2021-03,147155873,147490469
2021-04,147490886,147921987
2021-05,148374073,148412133
2021-06,149078882,149028016
2021-07,149380261,149483604
2021-08,150612484,149980635
2021-09,150528742,150369248
2021-10,150987603,150750870
2021-11,151364441,151161505
2021-12,151426608,151501415
2022-01,152009094,151926130
2022-02,151967849,152339065
2022-03,152432190,152728899
2022-04,152689699,153081382
2022-05,153543013,153554364
2022-06,154089543,154039554
2022-07,154290330,154390876
2022-08,155435820,154828660
2022-09,155175425,155060780
2022-10,155542755,155343056
2022-11,155773897,155592981
2022-12,155725581,155782788
2023-01,156069683,156019729
2023-02,155875293,156215635
2023-03,156167832,156426506
2023-04,156252268,156604366
2023-05,156840467,156825080
2023-06,157074874,157025816
2023-07,157093422,157191273
2023-08,157962143,157379857
2023-09,157577748,157508021
2023-10,157885327,157722730
2023-11,158009139,157850317
2023-12,157896248,157934849
2024-01,158082039,158065383
2024-02,157850966,158160444
2024-03,158039127,158259631
2024-04,158084799,158397099
2024-05,158452390,158410252
2024-06,158546595,158498528
2024-07,158507101,158602349
2024-08,159267247,158710080
2024-09,158847863,158823170
2024-10,159054568,158929118
2024-11,159160401,159023764
2024-12,159021725,159040434
2025-01,159096344,159112797
2025-02,158869575,159148211
2025-03,159036745,159218911
2025-04,159008763,159280995
2025-05,159315378,159246493
2025-06,159284741,159237789
2025-07,159165226,159257997
2025-08,159749955,159218204
2025-09,159235598,159256049
2025-10,159328789,159240592
2025-11,159345937,159231610
